TextCaps validation set,,,,,,,,,,,
config, model, txt_encoding, ocr_context, ocr_features, BLEU-4, METEOR, ROUGE_L, SPICE, CIDEr,,Training time
2,LSTM-R,,,,27.9,23.7,49.1,16.6,109.3,,
1,TAP,,,,NR,NR,NR,NR,109.16,,
3,CNMT,,,,24.8,23,47.1,16.3,101.7,,
4,SimpleEasy,,,,24.89,22.71,47.24,15.71,98.83,,
l_cnmt,CNMT-DF,Distilbert-base-cased,FastText,Rosetta + CRAFT + ABC,22.8,22.7,46.3,15.9,96.3,Ours,
l_cnmt_glove,L-CNMT-DG,Distilbert-base-cased,GloVe 100k,Rosetta + CRAFT + ABC,22.7,22.5,46.2,16.1,94.9,Ours,
glove,L-M4C-BG,Bert-base-uncased,GloVe 100k,Rosetta,22.5,22.2,45.8,15.5,89.4,Ours,
NA,M4C-DF,Distilbert-base-cased,FastText,Rosetta,22.3,22.3,45.8,15.6,89.4,Ours,
NA,M4C-BF, Bert-base-uncased,FastText,Rosetta,23.4,21.8,46,15,89.1,Baseline,
lm4c_glove,L-M4C-DG,Distilbert-base-cased,GloVe 100k,Rosetta,22.3,22.1,45.6,15.6,88.4,Ours,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TextCaps test set,,,,,,,,,,,
config, model, txt_encoding, ocr_context, ocr_features, BLEU-4, METEOR, ROUGE_L, SPICE, CIDEr,,Training time
1,TAP,,,,21.86,21.85,45.65,14.64,103.22,,
2,LSTM-R,,,,22.93,21.32,46.11,13.81,100.82,,
3,CNMT,,,,20.1,20.94,44.41,13.55,93.24,,
4,SimpleEasy,,,,20.16,20.3,44.23,12.82,89.63,,
l_cnmt,CNMT-DF,Distilbert-base-cased,FastText,Rosetta + CRAFT + ABC,19.46,20.76,44.03,13.42,89.56,Ours,21 hours
l_cnmt_glove,L-CNMT-DG,Distilbert-base-cased,GloVe 100k,Rosetta + CRAFT + ABC,19.11,20.66,43.72,13.46,88.24,Ours,21 hours
NA,M4C-DF,Distilbert-base-cased,FastText,Rosetta,18.78,20.05,43.18,12.88,81.57,Ours,13 hours
NA,L-M4C-BG,Bert-base-uncased,GloVe 100k,Rosetta,18.84,20.22,43.41,13.05,81.24,Ours,
lm4c,M4C-BF, Bert-base-uncased,FastText,Rosetta,18.86,19.77,43.23,12.77,80.99,Baseline,
lm4c_glove,L-M4C-DG,Distilbert-base-cased,GloVe 100k,Rosetta,18.77,19.98,43.07,12.92,80.59,Ours,13 hours
